Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
CPA basics;Application;MC;Yiziphi kulezi ofanele uzilindele ukuzibona kufomu yesicelo se {loyalty programme}?;Incazelo ye {loyalty programme};Igama lomphathi;Wonke amagama ezisebenzi;i{List} yama {products} athengiswa i{supplier};Uma uaplayela i{loyalty programme}, kufanele i{supplier}/{service provider} iqinisekise ukuthi ukwazi ukuthola kalula incazelo ye {loyalty programme}. ;15
CPA basics;Seed;MC-AOTA;Ikuphi kwezilandelayo i{supplier} ayivunyelwe ukukwenza?;Zonke ezibaliwe;Ukulimaza umthengi;Ukuhlukumeza umthengi;Ukucindezela umthengi ngokungalungile;i{Supplier} ayivumelekile ukulimaza, ukuhlukumeza, ukusabisa, ukusongela noma ukucindezela ngokungalungile umthengi. ;4
CPA basics;Retention;MC;i{Supplier} ayivunyelwe uku:;Ukungabi neqiniso ngama {products} namasevisi;Bacele ukuthi ubhadale ama {products} namasevisi ;Bakusize ukupakisha izikhwama zakho;Bacele ukuthi ubhadale ngemali hayi i{card} ;Ngokusho kwe {Consumer Protection Act}, ama {suppliers} awavumelekile ukungabi neqiniso ngama {products} noma amasevisi uma bewa adivathayiza noma bekhuluma ngawo kuwe njengomthengi.;8
CPA basics;Retention;MC;Kwenzekani uma umthengi abhadala i{product} bese i{supplier} iphelelwa i{stock}?;Umthengi kufanele abuyiselwe imali yakhe;Umthengi kufanele abhadale imali engeziwe;Umthengi kufanele afayinwe;Umthengi kufanele aye kweyinye {supplier};Uma umthengi abhadala i{product} bese i{supplier} iphelelwa i{stock} yaleyo {product}, i{supplier} kufanele ibuyisele imali yomthengi nenzalo kanti ibuyisele ezinye izindleko ezengeziwe.;9
CPA basics;Application;MC;Ingabe i{supplier} akuvumelekile ukuthi yenzeni uma uthenga?;Ukukucindezela ukuthenga into ethize;Ukukucela uma udinga usizo;Ukukubonisa ama {products} we {sale};Ukukusiza ukuphakisha izikhwama zakho;Uma uthenga, i{supplier} ayivunyelwe ukukucindezela okungalungile uma uthenga, njengo ukukuthethisa, ukuhlasela noma ukukusongela ngokufuna ukukulimaza.;16
CPA basics;Seed;MC;Uya kubani uma ucabanga ukuthi i{contract} ingaba ingalungile?;i{National Consumer Tribunal} ({NCT});Inkhantolo yokulinganisa;Inkhantolo ka {Magistrate};Inkantolo ka {Supreme};Uma ucabanga ukuthi i{contract} oyisayine ayilunganga, engacabangeli noma okungalungile, ungaya ku {National Consumer Tribunal} ({NCT}).;10
CPA basics;Retention;MC;Ingabe kufanele ama {suppliers} enzeni uma ama {products} wabo athengiswa amoshakale noma angaphephanga?;Abuyisele imali kumthengi alungise nokunikeza enye;Afayine umthengi;Akwale ukusiza umthengi;Ukwenza umthengi abhadale i{half} yama {products};Uma ama {products} amoshakale noma angaphephanga, kufanele ama {suppliers} abuyisele imali kumthengi noma anikeze eyinye noma alungise ama {products}. Kufanele i{supplier} ibhadale hayi umthengi.;8
CPA basics;Retention;MC;Abathengi kufanele babuyise ama {products} amoshakele noma angaphephanga ngemva kwesikhathi eside kangakanani?;Izinyanga 6;Umnyaka ;Iminyaka 3;Iviki;Abathengi kufanele babuyisele ama {products} amoshakale noma angaphephanga phakathi kwezinyanga eziwu 6 ukucela ukubuyiselwa imali, ukunikezwa enye noma ukulungisa, i{supplier} (kufanele ibhadale).;9
CPA basics;Retention;MC;Uma ubhadala isevisi, i{CPA} ithi kufanele ibe________;Yasezingeni elihle kanti yenziwa ngesikhathi;Yasezingeni elibi kanti yenziwa emuva kwesikhathi;Yezinga eliphakathi;Yezinga elibi neyenzwe emuva kwesikhathi kakhulu;Uma umthengi abhadala isevisi, bangalinda isevisi yezinga elihle neyenziwa ngesikhathi ne {supplier}.;8
CPA basics;Retention;MC;Ama {products} ayingozi njenga ama{chemical} kufanele _______;Abhalwe ngokucacile ukuthi ayingozi;Kuvinjelwe;Kuhlanganiswe i{plastic};Okungabhalwanga lutho;Uma i{product} iyingozi, i{supplier} kufanele iyilebule ngokucacile ukuthi abathengi bazi ukuthi iyingozi. i{Supplier} kufanele futhi itshele umthengi indlela yokusebenzisa i-product ngokuphepha.;8
CPA basics;Application;MC;Uma uthenga i{TV} bese ilethwa iphukile, ungenzani?;Cela enye entsha ku {supplier};Cela i{supplier} ezinye ezintsha ezimbili;Cela i{supplier} ama {products} wamahala;Cela i{supplier} isikweletu;Uma i{product} ethize oyithengile ilethwa imoshakele noma iphukile ngendlela ethize, cela i{supplier} ikubuyisele imali, ilungise i{product} noma ikunike enye. i{supplier} kufanele ibhadale.;15
CPA basics;Application;T/F;Ama {products} ayingozi kufanele aze namalebula kanye nezixwayiso zeziyalezo ezicacile ngendlela yokuwasebenzisa.;Iqiniso;Amanga;;;i{Product} eyingozi ngayinye njenge {toxic cleaning detergent} kufanele ibe nelebula yesixwayiso esicacile kanye neziyalelo zokuyisebenzisa ngokuphepha.;15
CPA basics;Seed;MC;Siyasibiza ukuthini isivumelwano lapho i{supplier} ibamba izimphahla ozifunayo, kuze kube uzibhadale zonke?;Isivumelwano se {lay}-{by};i{Mortgage};i{Instalment sale};i{Credit card};Isivumelwano se {lay}-{by} senzeka uma umthengi abhadala imphahla kwesikhathi esithize kanti i{supplier} igcina ama {products} kuze kube lapho abhadalwa. Umthengi kudingeka abhadale i{deposit}.;3
CPA basics;Retention;Y/N;Ngokusho kwe {CPA}, ungathenga ama {products} noma amasevisi ngokusebenzisa isivumelwano se {lay}-{by}?;Yebo;Cha;;;Ngokusho kwe {CPA}, abathengi bangathenga ama {products} namasevisi ngezivumelwano ze {lay}-{by} nama {suppliers}.;8
CPA basics;Retention;MC;Kungenzekani kulezi uma i{supplier} ingakunikezi i{product} oyithengile nge {lay}-{by}?;Unikezwa i{product} efanayo noma engcono;i{Supplier} ibhadala ifayini;Ubhadala ifayini;i{Supplier} iyavala;Uma uqeda ukubhadala into ethize nge {lay}-{by} kodwa i{supplier} ingagcinanga ngempela i{product} yakho, i{supplier} ingalungisa izinto ngokukunikeza i{product} efanayo noma engconywana.;10
CPA basics;Application;MC;Yini ongayicelayo uma isitolo singagcinanga imphahla ye {lay}-{by} oyibhadale ngokugcwele?;Ukubuyiselwa imali ngenzalo;Ama {products} engeziwe wamahala;Ukwehliselwa intengo kumphahla yonke;Ukwehliselwa intengo komndeni wakho;Uma i{supplier} ingakunikezi ama {products} owabhadale, ungacela ukubuyiselwa imali ngenzalo.;16
